cup_number,shading,subsidy,larvae
1,shaded,litter,present
2,shaded,litter,present
3,shaded,litter,absent
4,shaded,litter,present
5,shaded,litter,present
6,shaded,litter,present
7,shaded,litter,absent
8,shaded,litter,absent
9,shaded,litter,absent
10,shaded,litter,absent
11,shaded,litter,absent
12,shaded,litter,absent
13,exposed,litter,present
14,exposed,litter,present
15,exposed,litter,present
16,exposed,litter,present
17,exposed,litter,present
18,exposed,litter,present
19,exposed,litter,absent
20,exposed,litter,absent
21,exposed,litter,absent
22,exposed,litter,absent
23,exposed,litter,absent
24,exposed,litter,absent
25,shaded,litter_feces,present
26,shaded,litter_feces,present
27,shaded,litter_feces,present
28,shaded,litter_feces,present
29,shaded,litter_feces,present
30,shaded,litter_feces,present
31,shaded,litter_feces,absent
32,shaded,litter_feces,present
33,shaded,litter_feces,absent
34,shaded,litter_feces,absent
35,shaded,litter_feces,absent
36,shaded,litter_feces,absent
37,exposed,litter_feces,present
38,exposed,litter_feces,present
39,exposed,litter_feces,present
40,exposed,litter_feces,present
41,exposed,litter_feces,present
42,exposed,litter_feces,present
43,exposed,litter_feces,absent
44,exposed,litter_feces,absent
45,exposed,litter_feces,absent
46,exposed,litter_feces,absent
47,exposed,litter_feces,absent
48,exposed,litter_feces,absent